genes,KI_3,KI_4,KI_6,KI_7,KI_8,SAA_4,SAA_5,SAA_6,SAA_7,SAA_8
Gm12660,0,0,0,0,0,0,0,0,0,0
Zfp454,0,7,2,0,3,0,0,0,7,8
Zfp2,48,22,66,21,34,13,30,19,42,42
Zfp354b,17,10,0,3,9,0,0,4,7,19
X4933414I15Rik,0,0,0,0,0,0,0,0,0,0
Prop1,0,0,0,0,0,0,0,0,0,0
Olfr1378,0,0,0,0,0,0,0,0,0,0
Olfr1377,0,0,0,0,0,0,0,0,0,0
Olfr51,0,0,0,0,0,0,0,0,0,0
Olfr54,0,0,0,0,0,0,0,0,0,0
Olfr1375,0,0,0,0,0,0,0,0,0,0
Zfp354a,49,0,22,18,31,4,17,9,11,4
X9230009I02Rik,0,0,0,0,0,0,0,0,0,0
Platr20,0,0,0,0,0,0,0,0,0,0
Gm12569,0,0,0,0,0,0,0,0,0,0
BC049762,0,0,0,0,0,0,0,0,0,0
Clk4,137,297,292,238,315,119,181,185,155,198
Col23a1,7,6,4,2,0,0,0,10,5,2
Phykpl,5,31,8,31,54,2,6,58,11,8
Hnrnpab,6,15,0,9,13,9,6,5,2,7
Nhp2,10,26,19,18,9,16,29,16,13,20
Rmnd5b,62,59,53,42,69,34,38,22,51,33
N4bp3,12,2,0,0,13,1,1,2,19,17
D930048N14Rik,4,0,6,0,11,0,0,0,5,10
X0610009B22Rik,56,67,51,34,61,29,43,32,23,59
Sec24a,36,44,42,41,42,20,5,38,35,21
Sar1b,110,205,132,150,240,65,102,103,124,222
Jade2,13,18,7,31,22,5,6,11,38,13
Gm39822,0,0,0,0,0,0,0,6,0,0
Cdkn2aipnl,23,70,69,62,112,22,18,52,52,40
Ube2b,173,230,349,190,323,130,191,154,103,164
Gm12204,0,0,0,0,0,0,0,0,0,0
Cdkl3,16,9,4,13,3,1,11,5,6,14
Gm12205,0,0,0,0,0,0,3,0,0,0
Ppp2ca,39,49,78,32,46,37,12,52,38,34
Olfr1373,0,0,0,0,0,0,0,0,0,0
Olfr1371,0,0,0,0,0,0,0,0,0,0
Skp1a,459,568,769,447,793,314,422,431,391,717
Gm12207,1,0,1,0,0,1,0,0,0,1
Tcf7,0,0,0,10,6,1,0,0,5,1
A630014C17Rik,0,0,0,0,0,0,0,0,2,0
Vdac1,91,281,206,155,313,115,201,147,123,226
X9530068E07Rik,201,233,273,198,245,96,238,129,179,264
